Rank ,Code ,Occupation Title ,AIOE 
504,27-4031 ,"Camera Operators, Television, Video, and Motion Picture ",-0.629
505,51-2093 ,Timing Device Assemblers and Adjusters ,-0.635
506,33-1021 ,First-Line Supervisors of Fire Fighting and Prevention Workers ,-0.636
507,51-9071 ,Jewelers and Precious Stone and Metal Workers ,-0.637
508,35-2013 ,"Cooks, Private Household ",-0.639
509,33-3051 ,Police and Sheriff's Patrol Officers ,-0.64
510,53-2012 ,Commercial Pilots ,-0.644
511,39-3021 ,Motion Picture Projectionists ,-0.649
512,51-8093 ,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.651
513,51-2023 ,Electromechanical Equipment Assemblers ,-0.652
514,39-4011 ,Embalmers ,-0.657
515,49-3052 ,Motorcycle Mechanics ,-0.666
516,33-3012 ,Correctional Officers and Jailers ,-0.669
517,49-2095 ,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.672
518,51-9011 ,Chemical Equipment Operators and Tenders ,-0.678
519,31-9011 ,Massage Therapists ,-0.682
520,49-2098 ,Security and Fire Alarm Systems Installers ,-0.685
521,51-4111 ,Tool and Die Makers ,-0.687
522,27-1013 ,"Fine Artists, Including Painters, Sculptors, and Illustrators ",-0.698
523,29-2041 ,Emergency Medical Technicians and Paramedics ,-0.699
524,49-2094 ,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.703
525,45-4023 ,Log Graders and Scalers ,-0.703
526,43-9051 ,"Mail Clerks and Mail Machine Operators, Except Postal Service ",-0.711
527,51-9141 ,Semiconductor Processors ,-0.713
528,53-3031 ,Driver/Sales Workers ,-0.722
529,37-2021 ,Pest Control Workers ,-0.724
530,53-3022 ,"Bus Drivers, School or Special Client ",-0.729
531,39-2011 ,Animal Trainers ,-0.729
532,49-2097 ,Electronic Home Entertainment Equipment Installers and Repairers,-0.73
533,27-1026 ,Merchandise Displayers and Window Trimmers ,-0.735
534,43-5071 ,"Shipping, Receiving, and Traffic Clerks ",-0.738
535,49-2021 ,"Radio, Cellular, and Tower Equipment Installers and Repairers ",-0.743
536,47-4041 ,Hazardous Materials Removal Workers ,-0.744
537,33-3052 ,Transit and Railroad Police ,-0.745
538,53-1011 ,Aircraft Cargo Handling Supervisors ,-0.751
539,51-2022 ,Electrical and Electronic Equipment Assemblers ,-0.752
540,53-2011 ,"Airline Pilots, Copilots, and Flight Engineers ",-0.758
541,35-2014 ,"Cooks, Restaurant ",-0.759
542,19-4093 ,Forest and Conservation Technicians ,-0.761
543,51-9194 ,Etchers and Engravers ,-0.775
544,31-9093 ,Medical Equipment Preparers ,-0.776
545,49-9012 ,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.781
546,51-4062 ,"Patternmakers, Metal and Plastic ",-0.788
547,51-3091 ,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.79
548,53-5021 ,"Captains, Mates, and Pilots of Water Vessels ",-0.793
549,49-9099 ,"Installation, Maintenance, and Repair Workers, All Other ",-0.793
550,53-6011 ,Bridge and Lock Tenders ,-0.799
551,51-7031 ,"Model Makers, Wood ",-0.802
552,51-8099 ,"Plant and System Operators, All Other ",-0.811
553,49-3011 ,Aircraft Mechanics and Service Technicians ,-0.814
554,49-3091 ,Bicycle Repairers ,-0.823
555,51-4193 ,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.828
556,51-2092 ,Team Assemblers ,-0.832
557,51-5112 ,Printing Press Operators ,-0.844
558,53-3011 ,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.844
559,51-4081 ,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.845
560,53-7011 ,Conveyor Operators and Tenders ,-0.846
561,51-9051 ,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders ",-0.847
562,49-9091 ,"Coin, Vending, and Amusement Machine Servicers and Repairers ",-0.852
563,51-4035 ,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.867
564,51-4061 ,"Model Makers, Metal and Plastic ",-0.868
565,51-2021 ,"Coil Winders, Tapers, and Finishers ",-0.869
566,49-3092 ,Recreational Vehicle Service Technicians ,-0.869
567,49-2096 ,"Electronic Equipment Installers and Repairers, Motor Vehicles ",-0.87
568,47-4099 ,"Construction and Related Workers, All Other ",-0.871
569,53-7071 ,Gas Compressor and Gas Pumping Station Operators ,-0.873
570,47-5012 ,"Rotary Drill Operators, Oil and Gas ",-0.88
571,51-4022 ,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.881
572,27-2032 ,Choreographers ,-0.886
573,51-4032 ,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.887
574,51-4011 ,"Computer-Controlled Machine Tool Operators, Metal and Plastic ",-0.888
575,51-6011 ,Laundry and Dry-Cleaning Workers ,-0.889
576,49-9021 ,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.896
577,49-2093 ,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.91
578,53-4041 ,Subway and Streetcar Operators ,-0.913
579,51-5113 ,Print Binding and Finishing Workers ,-0.914
580,39-6011 ,Baggage Porters and Bellhops ,-0.914
581,53-4011 ,Locomotive Engineers ,-0.916
582,47-2111 ,Electricians ,-0.916
583,27-1012 ,Craft Artists ,-0.917
584,51-9196 ,"Paper Goods Machine Setters, Operators, and Tenders ",-0.917
585,51-9083 ,Ophthalmic Laboratory Technicians ,-0.918
586,43-5021 ,Couriers and Messengers ,-0.922
587,51-6061 ,Textile Bleaching and Dyeing Machine Operators and Tenders ,-0.923
588,51-6091 ,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.924
589,51-2011 ,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers ",-0.927
590,47-4021 ,Elevator Installers and Repairers ,-0.928
591,49-9031 ,Home Appliance Repairers ,-0.928
592,37-3012 ,"Pesticide Handlers, Sprayers, and Applicators, Vegetation ",-0.934
593,35-2021 ,Food Preparation Workers ,-0.934
594,51-4192 ,"Layout Workers, Metal and Plastic ",-0.936
595,49-3051 ,Motorboat Mechanics and Service Technicians ,-0.938
596,53-3041 ,Taxi Drivers and Chauffeurs ,-0.938
597,49-2022 ,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.939
598,51-9023 ,"Mixing and Blending Machine Setters, Operators, and Tenders ",-0.941
599,45-2021 ,Animal Breeders ,-0.941
600,51-9031 ,"Cutters and Trimmers, Hand ",-0.946
601,47-4091 ,Segmental Pavers ,-0.949
602,51-9123 ,"Painting, Coating, and Decorating Workers ",-0.951
603,47-5031 ,"Explosives Workers, Ordnance Handling Experts, and Blasters ",-0.955
604,49-3053 ,Outdoor Power Equipment and Other Small Engine Mechanics ,-0.961
605,43-5052 ,Postal Service Mail Carriers ,-0.967
606,53-7072 ,"Pump Operators, Except Wellhead Pumpers ",-0.972
607,51-3021 ,Butchers and Meat Cutters ,-0.977
608,51-4041 ,Machinists ,-0.978
609,49-2092 ,"Electric Motor, Power Tool, and Related Repairers ",-0.98
610,49-9081 ,Wind Turbine Service Technicians ,-0.984
611,49-9094 ,Locksmiths and Safe Repairers ,-0.991
612,47-5021 ,"Earth Drillers, Except Oil and Gas ",-0.999
613,45-4011 ,Forest and Conservation Workers ,-1
614,51-6041 ,Shoe and Leather Workers and Repairers ,-1.007
615,43-5053 ,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.007
616,51-9111 ,Packaging and Filling Machine Operators and Tenders ,-1.011
617,53-7063 ,Machine Feeders and Offbearers ,-1.013
618,49-9043 ,"Maintenance Workers, Machinery ",-1.015
619,51-6051 ,"Sewers, Hand ",-1.019
620,53-4013 ,"Rail Yard Engineers, Dinkey Operators, and Hostlers ",-1.021
621,51-3022 ,"Meat, Poultry, and Fish Cutters and Trimmers ",-1.026
622,43-5041 ,"Meter Readers, Utilities ",-1.027
623,37-2012 ,Maids and Housekeeping Cleaners ,-1.031
624,51-9193 ,Cooling and Freezing Equipment Operators and Tenders ,-1.031
625,49-3023 ,Automotive Service Technicians and Mechanics ,-1.031
626,45-2041 ,"Graders and Sorters, Agricultural Products ",-1.032
627,47-2231 ,Solar Photovoltaic Installers ,-1.037
628,53-6021 ,Parking Lot Attendants ,-1.038
629,51-2031 ,Engine and Other Machine Assemblers ,-1.045
630,51-4122 ,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-1.048
631,51-9012 ,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators and Tenders",-1.048
632,47-2042 ,"Floor Layers, Except Carpet, Wood, and Hard Tiles ",-1.049
633,53-3021 ,"Bus Drivers, Transit and Intercity ",-1.05
634,51-6042 ,Shoe Machine Operators and Tenders ,-1.052
635,49-9052 ,Telecommunications Line Installers and Repairers ,-1.054
636,49-3031 ,Bus and Truck Mechanics and Diesel Engine Specialists ,-1.058
637,47-5013 ,"Service Unit Operators, Oil, Gas, and Mining ",-1.068
638,49-9071 ,"Maintenance and Repair Workers, General ",-1.07
639,53-4012 ,Locomotive Firers ,-1.073
640,51-2041 ,Structural Metal Fabricators and Fitters ,-1.078
641,47-2132 ,"Insulation Workers, Mechanical ",-1.08
642,49-9092 ,Commercial Divers ,-1.082
643,31-1015 ,Orderlies ,-1.088
644,45-2093 ,"Farmworkers, Farm, Ranch, and Aquacultural Animals ",-1.089
645,37-2011 ,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners ",-1.093
646,51-4194 ,"Tool Grinders, Filers, and Sharpeners ",-1.097
647,53-7073 ,Wellhead Pumpers ,-1.099
648,51-4072 ,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.108
649,53-6031 ,Automotive and Watercraft Service Attendants ,-1.108
650,51-6062 ,"Textile Cutting Machine Setters, Operators, and Tenders ",-1.116
651,49-9051 ,Electrical Power-Line Installers and Repairers ,-1.119
652,47-2152 ,"Plumbers, Pipefitters, and Steamfitters ",-1.12
653,47-2011 ,Boilermakers ,-1.122
654,51-9192 ,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.124
655,51-4034 ,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.126
656,53-7041 ,Hoist and Winch Operators ,-1.127
657,51-9021 ,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-1.136
658,51-9041 ,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators and Tenders",-1.138
659,51-4052 ,"Pourers and Casters, Metal ",-1.143
660,49-9097 ,Signal and Track Switch Repairers ,-1.148
661,51-4031 ,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic ",-1.15
662,51-6063 ,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.156
663,51-4191 ,"Heat Treating Equipment Setters, Operators, and Tenders, Metal",-1.171
664,47-2073 ,Operating Engineers and Other Construction Equipment Operators,-1.174
665,53-5022 ,Motorboat Operators ,-1.177
666,47-2151 ,Pipelayers ,-1.181
667,51-4023 ,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-1.186
668,53-7064 ,"Packers and Packagers, Hand ",-1.193
669,51-4033 ,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic ",-1.194
670,47-2044 ,Tile and Marble Setters ,-1.196
671,51-9032 ,"Cutting and Slicing Machine Setters, Operators, and Tenders ",-1.199
672,49-3021 ,Automotive Body and Related Repairers ,-1.199
673,53-3033 ,Light Truck or Delivery Services Drivers ,-1.2
674,51-7042 ,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-1.204
675,51-7032 ,"Patternmakers, Wood ",-1.208
676,49-9045 ,"Refractory Materials Repairers, Except Brickmasons ",-1.209
677,49-9041 ,Industrial Machinery Mechanics ,-1.217
678,51-9022 ,"Grinding and Polishing Workers, Hand ",-1.22
679,49-3022 ,Automotive Glass Installers and Repairers ,-1.235
680,51-7021 ,Furniture Finishers ,-1.238
681,49-3041 ,Farm Equipment Mechanics and Service Technicians ,-1.239
682,45-2091 ,Agricultural Equipment Operators ,-1.24
683,51-9195 ,"Molders, Shapers, and Casters, Except Metal and Plastic ",-1.241
684,47-2211 ,Sheet Metal Workers ,-1.245
685,47-2031 ,Carpenters ,-1.245
686,53-7031 ,Dredge Operators ,-1.256
687,39-9031 ,Fitness Trainers and Aerobics Instructors ,-1.257
688,49-3042 ,"Mobile Heavy Equipment Mechanics, Except Engines ",-1.259
689,47-4071 ,Septic Tank Servicers and Sewer Pipe Cleaners ,-1.26
690,53-7081 ,Refuse and Recyclable Material Collectors ,-1.263
691,51-7041 ,"Sawing Machine Setters, Operators, and Tenders, Wood ",-1.265
692,47-2121 ,Glaziers ,-1.267
693,53-5011 ,Sailors and Marine Oilers ,-1.269
694,51-6031 ,Sewing Machine Operators ,-1.273
695,51-2091 ,Fiberglass Laminators and Fabricators ,-1.277
696,49-9096 ,Riggers ,-1.278
697,51-9121 ,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-1.279
698,47-4051 ,Highway Maintenance Workers ,-1.282
699,49-9011 ,Mechanical Door Repairers ,-1.282
700,47-5042 ,Mine Cutting and Channeling Machine Operators ,-1.283
701,49-9044 ,Millwrights ,-1.284
702,51-9191 ,Adhesive Bonding Machine Operators and Tenders ,-1.285
703,33-2011 ,Firefighters ,-1.287
704,27-2021 ,Athletes and Sports Competitors ,-1.29
705,51-4121 ,"Welders, Cutters, Solderers, and Brazers ",-1.298
706,47-2071 ,"Paving, Surfacing, and Tamping Equipment Operators ",-1.303
707,51-4051 ,Metal-Refining Furnace Operators and Tenders ,-1.304
708,53-4021 ,"Railroad Brake, Signal, and Switch Operators ",-1.306
709,49-9098 ,"Helpers--Installation, Maintenance, and Repair Workers ",-1.321
710,51-4021 ,"Extruding and Drawing Machine Setters, Operators, and Tenders,",-1.325
711,51-7011 ,Cabinetmakers and Bench Carpenters ,-1.327
712,47-2082 ,Tapers ,-1.345
713,53-7021 ,Crane and Tower Operators ,-1.352
714,45-4022 ,Logging Equipment Operators ,-1.355
715,47-5041 ,Continuous Mining Machine Operators ,-1.355
716,51-9198 ,Helpers--Production Workers ,-1.355
717,51-9199 ,"Production Workers, All Other ",-1.363
718,53-7032 ,Excavating and Loading Machine and Dragline Operators ,-1.364
719,47-3012 ,Helpers--Carpenters ,-1.37
720,45-3021 ,Hunters and Trappers ,-1.374
721,47-2141 ,"Painters, Construction and Maintenance ",-1.381
722,53-7033 ,"Loading Machine Operators, Underground Mining ",-1.39
723,47-5011 ,"Derrick Operators, Oil and Gas ",-1.391
724,53-3032 ,Heavy and Tractor-Trailer Truck Drivers ,-1.4
725,53-7121 ,"Tank Car, Truck, and Ship Loaders ",-1.403
726,47-2061 ,Construction Laborers ,-1.405
727,51-6093 ,Upholsterers ,-1.405
728,47-2041 ,Carpet Installers ,-1.414
729,51-6064 ,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders ",-1.417
730,49-3093 ,Tire Repairers and Changers ,-1.423
731,45-2092 ,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse ",-1.432
732,35-9011 ,Dining Room and Cafeteria Attendants and Bartender Helpers ,-1.433
733,49-9095 ,Manufactured Building and Mobile Home Installers ,-1.44
734,47-3013 ,Helpers--Electricians ,-1.445
735,47-2072 ,Pile-Driver Operators ,-1.455
736,47-3015 ,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters ",-1.462
737,51-9197 ,Tire Builders ,-1.463
738,49-9093 ,"Fabric Menders, Except Garment ",-1.464
739,47-2022 ,Stonemasons ,-1.483
740,49-3043 ,Rail Car Repairers ,-1.485
741,47-2081 ,Drywall and Ceiling Tile Installers ,-1.496
742,47-4061 ,Rail-Track Laying and Maintenance Equipment Operators ,-1.497
743,53-7111 ,Mine Shuttle Car Operators ,-1.497
744,53-7062 ,"Laborers and Freight, Stock, and Material Movers, Hand ",-1.498
745,47-5071 ,"Roustabouts, Oil and Gas ",-1.5
746,47-2131 ,"Insulation Workers, Floor, Ceiling, and Wall ",-1.51
747,45-3011 ,Fishers and Related Fishing Workers ,-1.511
748,53-7061 ,Cleaners of Vehicles and Equipment ,-1.535
749,51-3023 ,Slaughterers and Meat Packers ,-1.543
750,47-2181 ,Roofers ,-1.553
751,35-9021 ,Dishwashers ,-1.561
752,47-2142 ,Paperhangers ,-1.566
753,51-9122 ,"Painters, Transportation Equipment ",-1.568
754,47-5081 ,Helpers--Extraction Workers ,-1.572
755,47-2043 ,Floor Sanders and Finishers ,-1.574
756,53-7051 ,Industrial Truck and Tractor Operators ,-1.575
757,47-2161 ,Plasterers and Stucco Masons ,-1.578
758,37-3013 ,Tree Trimmers and Pruners ,-1.581
759,47-5061 ,"Roof Bolters, Mining ",-1.593
760,47-2021 ,Brickmasons and Blockmasons ,-1.607
761,47-5051 ,"Rock Splitters, Quarry ",-1.614
762,51-4071 ,Foundry Mold and Coremakers ,-1.642
763,37-3011 ,Landscaping and Groundskeeping Workers ,-1.656
764,47-3016 ,Helpers--Roofers ,-1.668
765,47-4031 ,Fence Erectors ,-1.675
766,47-2051 ,Cement Masons and Concrete Finishers ,-1.678
767,47-2053 ,Terrazzo Workers and Finishers ,-1.685
768,47-2221 ,Structural Iron and Steel Workers ,-1.701
769,47-3014 ,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons ",-1.711
770,47-2171 ,Reinforcing Iron and Rebar Workers ,-1.781
771,45-4021 ,Fallers ,-1.791
772,27-2031 ,Dancers ,-1.793
773,47-3011 ,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.822
774,51-6021 ,"Pressers, Textile, Garment, and Related Materials ",-1.854
